dataset,n_share,n_source_private,method,AA,H-score,H3-score,AUROC,OSCR
office31,10,10,SO,91.67,89.6,88.74,95.94,91.2
office31,10,10,DANCE,89.44,91.93,90.3,95.29,87.32
office31,10,10,OVANet,90.1,86.51,86.64,94.7,89.96
office31,10,10,UniOT,84.74,89.16,87.68,93.46,86.63
office31,10,10,ClipDistill,93.65,84.87,85.5,96.77,93.82
office31,10,10,AutoDistill,nan,nan,nan,nan,nan
officehome,10,5,SO,81.95,82.77,82.81,91.58,84.46
officehome,10,5,DANCE,80.16,84.38,83.88,91.91,83.32
officehome,10,5,OVANet,79.46,76.83,78.65,88.76,82.03
officehome,10,5,UniOT,84.9,87.54,85.5,92.14,84.41
officehome,10,5,ClipDistill,91.66,85.4,84.46,94.96,92.71
officehome,10,5,AutoDistill,nan,nan,nan,nan,nan
visda,6,3,SO,49.96,57.53,65.03,64.12,50.36
visda,6,3,DANCE,45.9,53.89,61.84,69.5,41.33
visda,6,3,OVANet,62.34,58.03,65.45,60.05,46.48
visda,6,3,UniOT,48.78,56.6,61.94,68.45,44.15
visda,6,3,ClipDistill,81.61,83.82,85.16,88.82,82.99
visda,6,3,AutoDistill,nan,nan,nan,nan,nan
domainnet,150,50,SO,56.04,68.38,70.9,83.51,61.45
domainnet,150,50,DANCE,55.34,68.74,71.14,85.0,63.52
domainnet,150,50,OVANet,64.12,55.76,60.26,79.45,58.6
domainnet,150,50,UniOT,59.99,69.86,70.43,80.38,57.85
domainnet,150,50,ClipDistill,58.86,71.8,73.34,86.74,73.13
domainnet,150,50,AutoDistill,nan,nan,nan,nan,nan
