dataset,n_share,n_source_private,method,OA,AA,Closed-set OA,Closed-set AA
office31,10,21,SO,89.81,90.5,94.59,94.93
office31,10,21,DANCE,78.18,80.32,85.2,86.8
office31,10,21,OVANet,91.36,92.02,94.64,94.97
office31,10,21,UniOT,37.33,41.04,59.84,63.17
office31,10,21,ClipDistill,94.67,95.25,96.61,96.84
office31,10,21,AutoDistill,78.99,80.44,94.58,94.93
officehome,25,40,SO,63.69,64.41,81.84,81.04
officehome,25,40,DANCE,55.77,57.03,75.76,76.01
officehome,25,40,OVANet,72.24,71.29,81.84,81.01
officehome,25,40,UniOT,32.6,38.55,57.78,61.65
officehome,25,40,ClipDistill,80.0,79.56,89.97,89.02
officehome,25,40,AutoDistill,59.07,59.91,81.79,80.99
visda,6,6,SO,32.93,38.06,66.93,73.07
visda,6,6,DANCE,21.03,26.49,44.51,51.44
visda,6,6,OVANet,51.01,61.51,66.98,73.1
visda,6,6,UniOT,23.18,29.62,40.67,49.42
visda,6,6,ClipDistill,67.92,77.48,90.31,94.14
visda,6,6,AutoDistill,8.54,10.49,66.59,72.7
domainnet,150,195,SO,50.07,50.53,68.74,68.36
domainnet,150,195,DANCE,48.14,49.3,68.6,68.84
domainnet,150,195,OVANet,58.8,58.51,68.74,68.36
domainnet,150,195,UniOT,35.6,45.08,60.38,63.25
domainnet,150,195,ClipDistill,53.3,55.36,81.73,82.02
domainnet,150,195,AutoDistill,58.48,58.75,69.01,68.59
