dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
office31,10,10,SO,amazon,dslr,89.82,92.71,92.41,93.54,88.41
office31,10,10,SO,amazon,webcam,88.19,89.3,91.54,93.18,90.78
office31,10,10,SO,dslr,amazon,92.35,90.08,83.22,96.54,93.09
office31,10,10,SO,dslr,webcam,96.7,93.95,94.74,98.9,98.55
office31,10,10,SO,webcam,amazon,91.79,88.16,82.12,96.14,93.27
office31,10,10,SO,webcam,dslr,99.48,97.69,95.65,99.81,99.8
office31,10,10,DANCE,amazon,dslr,93.84,96.02,94.58,98.95,95.96
office31,10,10,DANCE,amazon,webcam,85.4,90.18,92.15,96.32,93.03
office31,10,10,DANCE,dslr,amazon,90.07,93.68,85.22,97.18,92.92
office31,10,10,DANCE,dslr,webcam,98.05,98.64,97.87,99.95,99.61
office31,10,10,DANCE,webcam,amazon,84.46,90.23,83.29,94.83,89.5
office31,10,10,DANCE,webcam,dslr,99.9,99.42,96.75,99.99,99.99
office31,10,10,OVANet,amazon,dslr,90.15,93.82,93.14,96.52,91.39
office31,10,10,OVANet,amazon,webcam,83.16,88.88,91.24,94.99,92.25
office31,10,10,OVANet,dslr,amazon,87.58,92.3,84.47,98.39,94.92
office31,10,10,OVANet,dslr,webcam,96.07,97.63,97.2,99.53,99.18
office31,10,10,OVANet,webcam,amazon,82.95,89.35,82.81,97.39,94.46
office31,10,10,OVANet,webcam,dslr,97.15,98.16,95.95,99.95,99.94
office31,10,10,UniOT,amazon,dslr,80.06,84.59,87.14,87.95,76.31
office31,10,10,UniOT,amazon,webcam,90.61,92.24,91.12,95.29,90.53
office31,10,10,UniOT,dslr,amazon,93.38,94.5,84.31,96.88,93.58
office31,10,10,UniOT,dslr,webcam,94.34,94.84,94.03,97.55,95.05
office31,10,10,UniOT,webcam,amazon,93.72,94.76,84.27,97.35,94.31
office31,10,10,UniOT,webcam,dslr,89.65,92.99,93.56,96.73,93.94
office31,10,10,WiSE-FT,amazon,dslr,67.08,77.89,82.04,95.68,91.82
office31,10,10,WiSE-FT,amazon,webcam,58.25,70.19,77.18,94.36,92.29
office31,10,10,WiSE-FT,dslr,amazon,71.12,80.83,77.74,97.39,94.53
office31,10,10,WiSE-FT,dslr,webcam,87.6,92.68,93.88,98.88,98.52
office31,10,10,WiSE-FT,webcam,amazon,65.89,76.75,75.18,97.53,95.0
office31,10,10,WiSE-FT,webcam,dslr,92.5,95.7,94.37,99.7,99.48
office31,10,10,ClipCrossModel,amazon,dslr,92.43,94.24,93.41,94.72,90.86
office31,10,10,ClipCrossModel,amazon,webcam,90.75,89.82,91.9,94.57,92.18
office31,10,10,ClipCrossModel,dslr,amazon,95.28,92.34,84.5,98.13,95.49
office31,10,10,ClipCrossModel,dslr,webcam,96.71,93.65,94.54,98.9,98.55
office31,10,10,ClipCrossModel,webcam,amazon,95.06,92.23,84.43,98.06,95.42
office31,10,10,ClipCrossModel,webcam,dslr,97.44,95.99,94.55,99.78,99.76
office31,10,10,ClipZeroShot,amazon,dslr,9.09,0.0,0.0,97.49,93.03
office31,10,10,ClipZeroShot,amazon,webcam,9.09,0.0,0.0,92.52,90.51
office31,10,10,ClipZeroShot,dslr,amazon,9.09,0.0,0.0,96.61,93.83
office31,10,10,ClipZeroShot,dslr,webcam,9.09,0.0,0.0,92.52,90.51
office31,10,10,ClipZeroShot,webcam,amazon,9.09,0.0,0.0,96.61,93.83
office31,10,10,ClipZeroShot,webcam,dslr,9.09,0.0,0.0,97.49,93.03
office31,10,10,ClipDistill,amazon,dslr,93.66,89.0,89.92,97.97,93.48
office31,10,10,ClipDistill,amazon,webcam,91.76,79.92,84.74,94.78,93.06
office31,10,10,ClipDistill,dslr,amazon,94.58,85.0,80.27,97.2,94.5
office31,10,10,ClipDistill,dslr,webcam,91.76,79.92,84.74,94.78,93.06
office31,10,10,ClipDistill,webcam,amazon,94.58,85.0,80.27,97.2,94.5
office31,10,10,ClipDistill,webcam,dslr,93.66,89.0,89.92,97.97,93.48
office31,10,10,ClipDistillTemp1.0,amazon,dslr,9.09,0.0,0.0,97.49,93.03
office31,10,10,ClipDistillTemp1.0,amazon,webcam,9.09,0.0,0.0,92.52,90.51
office31,10,10,ClipDistillTemp1.0,dslr,amazon,9.09,0.0,0.0,96.61,93.83
office31,10,10,ClipDistillTemp1.0,dslr,webcam,9.09,0.0,0.0,92.52,90.51
office31,10,10,ClipDistillTemp1.0,webcam,amazon,9.09,0.0,0.0,96.61,93.83
office31,10,10,ClipDistillTemp1.0,webcam,dslr,9.09,0.0,0.0,97.49,93.03
office31,10,10,AutoDistill,amazon,dslr,92.98,91.47,91.59,98.19,93.69
office31,10,10,AutoDistill,amazon,webcam,91.11,85.83,89.08,94.87,93.14
office31,10,10,AutoDistill,dslr,amazon,94.66,86.67,81.25,97.19,94.48
office31,10,10,AutoDistill,dslr,webcam,92.06,82.74,86.83,94.87,93.14
office31,10,10,AutoDistill,webcam,amazon,94.81,87.66,81.83,97.18,94.47
office31,10,10,AutoDistill,webcam,dslr,93.51,90.37,90.84,98.11,93.62
office31,10,10,Auto_only_cal,amazon,dslr,92.98,91.47,91.59,98.13,93.64
office31,10,10,Auto_only_cal,amazon,webcam,91.31,85.13,88.57,94.66,92.6
office31,10,10,Auto_only_cal,dslr,amazon,94.7,85.3,80.45,96.8,94.0
office31,10,10,Auto_only_cal,dslr,webcam,91.96,82.04,86.32,94.6,92.54
office31,10,10,Auto_only_cal,webcam,amazon,94.62,86.46,81.13,96.84,94.04
office31,10,10,Auto_only_cal,webcam,dslr,93.46,90.06,90.64,98.04,93.54
office31,10,10,Auto_wo_iid,amazon,dslr,86.12,90.89,91.2,98.28,93.78
office31,10,10,Auto_wo_iid,amazon,webcam,84.9,87.85,90.52,94.72,93.0
office31,10,10,Auto_wo_iid,dslr,amazon,93.37,91.1,83.8,97.14,94.34
office31,10,10,Auto_wo_iid,dslr,webcam,88.59,87.34,90.15,94.8,93.08
office31,10,10,Auto_wo_iid,webcam,amazon,93.03,91.16,83.83,97.14,94.34
office31,10,10,Auto_wo_iid,webcam,dslr,91.16,93.5,92.93,98.26,93.77
office31,10,10,Auto_wo_nll,amazon,dslr,79.49,87.1,88.62,98.26,93.77
office31,10,10,Auto_wo_nll,amazon,webcam,77.75,84.14,87.85,94.67,92.62
office31,10,10,Auto_wo_nll,dslr,amazon,92.55,91.32,83.92,97.14,94.34
office31,10,10,Auto_wo_nll,dslr,webcam,86.31,87.27,90.1,94.78,93.06
office31,10,10,Auto_wo_nll,webcam,amazon,89.98,91.51,84.03,97.12,94.33
office31,10,10,Auto_wo_nll,webcam,dslr,84.09,89.8,90.46,98.28,93.79
office31,10,10,Auto_wo_ood,amazon,dslr,93.62,83.93,86.4,97.57,93.08
office31,10,10,Auto_wo_ood,amazon,webcam,93.07,73.03,79.44,94.61,92.88
office31,10,10,Auto_wo_ood,dslr,amazon,92.03,59.27,63.04,96.07,93.48
office31,10,10,Auto_wo_ood,dslr,webcam,92.65,50.37,59.9,91.8,90.42
office31,10,10,Auto_wo_ood,webcam,amazon,91.03,48.06,54.09,93.24,90.6
office31,10,10,Auto_wo_ood,webcam,dslr,87.51,6.62,9.59,87.38,83.16
officehome,10,5,SO,Art,Clipart,75.04,75.73,74.95,83.42,71.07
officehome,10,5,SO,Art,Product,88.71,84.45,86.46,94.91,91.59
officehome,10,5,SO,Art,RealWorld,93.98,88.31,87.22,96.66,95.69
officehome,10,5,SO,Clipart,Art,82.02,86.28,79.88,93.61,90.87
officehome,10,5,SO,Clipart,Product,90.38,88.14,89.0,96.24,93.28
officehome,10,5,SO,Clipart,RealWorld,93.98,91.1,89.02,96.87,95.59
officehome,10,5,SO,Product,Art,74.14,81.52,77.1,91.91,76.68
officehome,10,5,SO,Product,Clipart,72.07,78.42,76.69,86.4,76.23
officehome,10,5,SO,Product,RealWorld,91.49,89.53,88.01,96.0,94.01
officehome,10,5,SO,RealWorld,Art,84.56,85.3,79.31,91.43,86.36
officehome,10,5,SO,RealWorld,Clipart,82.47,81.68,78.74,85.05,76.35
officehome,10,5,SO,RealWorld,Product,94.03,83.82,86.02,96.95,95.01
officehome,10,5,DANCE,Art,Clipart,78.46,82.2,79.06,87.76,80.3
officehome,10,5,DANCE,Art,Product,90.96,94.02,92.91,98.87,96.38
officehome,10,5,DANCE,Art,RealWorld,92.71,90.2,88.44,96.81,95.85
officehome,10,5,DANCE,Clipart,Art,81.0,86.63,80.08,93.63,90.33
officehome,10,5,DANCE,Clipart,Product,92.58,93.72,92.72,98.49,96.25
officehome,10,5,DANCE,Clipart,RealWorld,94.21,93.79,90.71,98.48,96.87
officehome,10,5,DANCE,Product,Art,77.23,85.35,79.34,91.54,80.12
officehome,10,5,DANCE,Product,Clipart,75.84,84.47,80.45,93.06,85.02
officehome,10,5,DANCE,Product,RealWorld,88.35,91.7,89.4,97.65,95.72
officehome,10,5,DANCE,RealWorld,Art,82.96,86.44,79.97,91.97,85.97
officehome,10,5,DANCE,RealWorld,Clipart,81.72,83.97,80.14,89.08,82.83
officehome,10,5,DANCE,RealWorld,Product,95.4,95.64,93.96,99.09,98.33
officehome,10,5,OVANet,Art,Clipart,74.54,80.55,78.03,87.49,74.67
officehome,10,5,OVANet,Art,Product,87.03,91.84,91.48,97.96,94.7
officehome,10,5,OVANet,Art,RealWorld,94.26,90.74,88.79,97.63,96.66
officehome,10,5,OVANet,Clipart,Art,81.73,86.07,79.76,94.15,91.45
officehome,10,5,OVANet,Clipart,Product,86.11,90.52,90.61,98.08,95.04
officehome,10,5,OVANet,Clipart,RealWorld,93.11,91.78,89.45,97.11,95.75
officehome,10,5,OVANet,Product,Art,64.73,75.64,73.5,90.02,74.86
officehome,10,5,OVANet,Product,Clipart,56.56,68.54,70.1,91.0,80.2
officehome,10,5,OVANet,Product,RealWorld,86.34,90.29,88.5,97.01,95.05
officehome,10,5,OVANet,RealWorld,Art,82.13,85.74,79.57,91.2,86.19
officehome,10,5,OVANet,RealWorld,Clipart,75.28,80.56,78.04,86.61,77.77
officehome,10,5,OVANet,RealWorld,Product,92.61,92.75,92.08,97.82,95.88
officehome,10,5,UniOT,Art,Clipart,86.45,88.28,83.27,93.42,83.66
officehome,10,5,UniOT,Art,Product,94.14,92.03,91.93,97.61,95.93
officehome,10,5,UniOT,Art,RealWorld,93.7,93.39,91.63,98.25,97.09
officehome,10,5,UniOT,Clipart,Art,85.78,87.61,83.12,89.84,85.3
officehome,10,5,UniOT,Clipart,Product,92.67,90.19,90.97,96.78,94.79
officehome,10,5,UniOT,Clipart,RealWorld,93.84,92.09,90.32,97.32,95.52
officehome,10,5,UniOT,Product,Art,83.1,85.99,82.57,87.18,79.53
officehome,10,5,UniOT,Product,Clipart,84.61,86.08,82.11,90.91,81.36
officehome,10,5,UniOT,Product,RealWorld,92.16,92.04,90.76,97.12,95.12
officehome,10,5,UniOT,RealWorld,Art,85.07,86.87,84.06,87.98,79.36
officehome,10,5,UniOT,RealWorld,Clipart,84.93,86.47,82.16,91.76,82.07
officehome,10,5,UniOT,RealWorld,Product,93.89,92.35,92.22,97.74,96.52
officehome,10,5,WiSE-FT,Art,Clipart,56.88,68.39,69.99,86.72,76.68
officehome,10,5,WiSE-FT,Art,Product,84.01,89.68,90.04,96.74,94.9
officehome,10,5,WiSE-FT,Art,RealWorld,86.52,90.9,88.89,98.14,97.41
officehome,10,5,WiSE-FT,Clipart,Art,57.59,69.46,69.49,95.6,93.97
officehome,10,5,WiSE-FT,Clipart,Product,80.2,87.43,88.52,97.89,96.57
officehome,10,5,WiSE-FT,Clipart,RealWorld,80.35,87.14,86.46,98.27,97.54
officehome,10,5,WiSE-FT,Product,Art,56.74,68.7,68.98,94.66,87.12
officehome,10,5,WiSE-FT,Product,Clipart,48.03,59.92,63.84,89.25,80.76
officehome,10,5,WiSE-FT,Product,RealWorld,78.36,85.8,85.58,97.62,96.53
officehome,10,5,WiSE-FT,RealWorld,Art,68.85,78.64,75.36,94.38,92.18
officehome,10,5,WiSE-FT,RealWorld,Clipart,64.14,73.97,73.79,87.41,78.95
officehome,10,5,WiSE-FT,RealWorld,Product,89.61,92.43,91.87,97.82,96.6
officehome,10,5,ClipCrossModel,Art,Clipart,78.7,78.37,76.66,85.2,74.37
officehome,10,5,ClipCrossModel,Art,Product,91.64,85.06,86.88,95.6,93.56
officehome,10,5,ClipCrossModel,Art,RealWorld,95.4,89.18,87.79,97.43,96.71
officehome,10,5,ClipCrossModel,Clipart,Art,87.1,88.98,81.4,94.8,92.74
officehome,10,5,ClipCrossModel,Clipart,Product,93.73,88.09,88.97,96.86,95.33
officehome,10,5,ClipCrossModel,Clipart,RealWorld,95.8,91.52,89.29,97.66,96.82
officehome,10,5,ClipCrossModel,Product,Art,80.99,85.91,79.67,94.15,86.83
officehome,10,5,ClipCrossModel,Product,Clipart,78.67,82.6,79.31,89.25,80.21
officehome,10,5,ClipCrossModel,Product,RealWorld,95.15,91.59,89.33,97.62,96.41
officehome,10,5,ClipCrossModel,RealWorld,Art,86.63,86.8,80.17,93.01,89.66
officehome,10,5,ClipCrossModel,RealWorld,Clipart,82.94,82.09,78.99,86.32,77.93
officehome,10,5,ClipCrossModel,RealWorld,Product,94.66,84.24,86.31,97.04,95.92
officehome,10,5,ClipZeroShot,Art,Clipart,9.09,0.0,0.0,89.55,82.63
officehome,10,5,ClipZeroShot,Art,Product,9.4,0.68,1.01,97.76,96.68
officehome,10,5,ClipZeroShot,Art,RealWorld,9.09,0.0,0.0,98.29,97.68
officehome,10,5,ClipZeroShot,Clipart,Art,9.09,0.0,0.0,96.73,94.64
officehome,10,5,ClipZeroShot,Clipart,Product,9.4,0.68,1.01,97.76,96.68
officehome,10,5,ClipZeroShot,Clipart,RealWorld,9.09,0.0,0.0,98.29,97.68
officehome,10,5,ClipZeroShot,Product,Art,9.09,0.0,0.0,96.73,94.64
officehome,10,5,ClipZeroShot,Product,Clipart,9.09,0.0,0.0,89.55,82.63
officehome,10,5,ClipZeroShot,Product,RealWorld,9.09,0.0,0.0,98.29,97.68
officehome,10,5,ClipZeroShot,RealWorld,Art,9.09,0.0,0.0,96.73,94.64
officehome,10,5,ClipZeroShot,RealWorld,Clipart,9.09,0.0,0.0,89.55,82.63
officehome,10,5,ClipZeroShot,RealWorld,Product,9.4,0.68,1.01,97.76,96.68
officehome,10,5,ClipDistill,Art,Clipart,84.34,82.09,78.99,88.75,81.87
officehome,10,5,ClipDistill,Art,Product,94.78,80.05,83.33,96.37,95.45
officehome,10,5,ClipDistill,Art,RealWorld,96.11,86.28,85.9,97.92,97.31
officehome,10,5,ClipDistill,Clipart,Art,91.33,89.37,81.62,96.34,94.44
officehome,10,5,ClipDistill,Clipart,Product,94.78,80.05,83.33,96.37,95.45
officehome,10,5,ClipDistill,Clipart,RealWorld,96.11,86.28,85.9,97.92,97.31
officehome,10,5,ClipDistill,Product,Art,91.33,89.37,81.62,96.34,94.44
officehome,10,5,ClipDistill,Product,Clipart,84.34,82.09,78.99,88.75,81.87
officehome,10,5,ClipDistill,Product,RealWorld,96.11,86.29,85.9,97.92,97.31
officehome,10,5,ClipDistill,RealWorld,Art,91.33,89.37,81.62,96.34,94.44
officehome,10,5,ClipDistill,RealWorld,Clipart,84.34,82.09,78.99,88.75,81.87
officehome,10,5,ClipDistill,RealWorld,Product,94.78,80.05,83.33,96.37,95.45
officehome,10,5,ClipDistillTemp1.0,Art,Clipart,9.09,0.0,0.0,89.55,82.63
officehome,10,5,ClipDistillTemp1.0,Art,Product,9.4,0.68,1.01,97.75,96.68
officehome,10,5,ClipDistillTemp1.0,Art,RealWorld,9.09,0.0,0.0,98.29,97.68
officehome,10,5,ClipDistillTemp1.0,Clipart,Art,9.09,0.0,0.0,96.73,94.64
officehome,10,5,ClipDistillTemp1.0,Clipart,Product,9.4,0.68,1.01,97.75,96.68
officehome,10,5,ClipDistillTemp1.0,Clipart,RealWorld,9.09,0.0,0.0,98.29,97.68
officehome,10,5,ClipDistillTemp1.0,Product,Art,9.09,0.0,0.0,96.73,94.64
officehome,10,5,ClipDistillTemp1.0,Product,Clipart,9.09,0.0,0.0,89.55,82.63
officehome,10,5,ClipDistillTemp1.0,Product,RealWorld,9.09,0.0,0.0,98.29,97.68
officehome,10,5,ClipDistillTemp1.0,RealWorld,Art,9.09,0.0,0.0,96.73,94.64
officehome,10,5,ClipDistillTemp1.0,RealWorld,Clipart,9.09,0.0,0.0,89.55,82.63
officehome,10,5,ClipDistillTemp1.0,RealWorld,Product,9.4,0.68,1.01,97.75,96.68
officehome,10,5,AutoDistill,Art,Clipart,84.34,83.7,79.98,89.21,82.3
officehome,10,5,AutoDistill,Art,Product,95.07,82.21,84.88,96.92,96.0
officehome,10,5,AutoDistill,Art,RealWorld,96.42,88.65,87.44,98.18,97.57
officehome,10,5,AutoDistill,Clipart,Art,89.96,89.97,81.95,96.64,94.74
officehome,10,5,AutoDistill,Clipart,Product,94.96,83.45,85.76,97.16,96.24
officehome,10,5,AutoDistill,Clipart,RealWorld,96.5,89.62,88.07,98.29,97.68
officehome,10,5,AutoDistill,Product,Art,84.61,89.22,81.54,96.89,94.8
officehome,10,5,AutoDistill,Product,Clipart,78.7,84.43,80.42,89.9,82.94
officehome,10,5,AutoDistill,Product,RealWorld,94.91,94.1,90.9,98.54,98.06
officehome,10,5,AutoDistill,RealWorld,Art,87.05,90.23,82.1,96.85,94.96
officehome,10,5,AutoDistill,RealWorld,Clipart,80.58,84.75,80.62,89.84,82.88
officehome,10,5,AutoDistill,RealWorld,Product,94.25,88.14,89.0,97.63,96.71
officehome,10,5,Auto_only_cal,Art,Clipart,85.49,82.39,79.18,90.06,83.11
officehome,10,5,Auto_only_cal,Art,Product,94.66,79.09,82.63,97.48,96.4
officehome,10,5,Auto_only_cal,Art,RealWorld,96.73,85.41,85.32,98.38,97.78
