dataset,n_share,n_source_private,method,source,target,OA,AA,Closed-set OA,Closed-set AA
office31,10,21,SO,amazon,dslr,82.8,86.4,95.12,96.22
office31,10,21,SO,amazon,webcam,82.03,83.72,97.63,97.93
office31,10,21,SO,dslr,amazon,89.42,89.13,95.27,95.25
office31,10,21,SO,dslr,webcam,94.8,96.43,99.44,99.61
office31,10,21,SO,webcam,amazon,84.55,84.28,94.5,94.48
office31,10,21,SO,webcam,dslr,98.09,98.75,100.0,100.0
office31,10,21,DANCE,amazon,dslr,51.8,65.23,76.01,83.2
office31,10,21,DANCE,amazon,webcam,40.68,43.33,71.41,73.13
office31,10,21,DANCE,dslr,amazon,58.11,57.13,76.55,75.78
office31,10,21,DANCE,dslr,webcam,85.42,90.0,91.53,94.19
office31,10,21,DANCE,webcam,amazon,48.54,47.77,71.71,71.22
office31,10,21,DANCE,webcam,dslr,96.18,97.5,99.36,99.58
office31,10,21,OVANet,amazon,dslr,88.96,91.42,94.69,95.94
office31,10,21,OVANet,amazon,webcam,76.5,77.48,97.18,97.55
office31,10,21,OVANet,dslr,amazon,82.78,81.96,95.27,95.25
office31,10,21,OVANet,dslr,webcam,94.01,95.79,99.44,99.61
office31,10,21,OVANet,webcam,amazon,82.43,81.63,94.43,94.41
office31,10,21,OVANet,webcam,dslr,96.18,96.92,100.0,100.0
office31,10,21,UniOT,amazon,dslr,36.52,43.36,47.56,55.32
office31,10,21,UniOT,amazon,webcam,35.14,36.25,48.14,50.05
office31,10,21,UniOT,dslr,amazon,39.04,39.29,61.97,62.15
office31,10,21,UniOT,dslr,webcam,40.9,42.39,63.73,65.95
office31,10,21,UniOT,webcam,amazon,37.02,37.23,58.21,58.31
office31,10,21,UniOT,webcam,dslr,41.83,49.34,56.05,63.88
office31,10,21,WiSE-FT,amazon,dslr,33.33,39.89,96.18,96.92
office31,10,21,WiSE-FT,amazon,webcam,26.55,28.34,97.74,98.08
office31,10,21,WiSE-FT,dslr,amazon,51.64,50.65,96.31,96.36
office31,10,21,WiSE-FT,dslr,webcam,72.99,76.36,99.66,99.77
office31,10,21,WiSE-FT,webcam,amazon,43.49,43.01,95.93,95.97
office31,10,21,WiSE-FT,webcam,dslr,82.38,83.15,99.58,99.33
office31,10,21,ClipCrossModel,amazon,dslr,86.84,89.62,96.18,96.92
office31,10,21,ClipCrossModel,amazon,webcam,85.65,87.18,97.63,97.94
office31,10,21,ClipCrossModel,dslr,amazon,93.7,93.65,96.35,96.41
office31,10,21,ClipCrossModel,dslr,webcam,95.25,96.64,99.66,99.77
office31,10,21,ClipCrossModel,webcam,amazon,91.09,91.03,95.65,95.72
office31,10,21,ClipCrossModel,webcam,dslr,96.6,97.19,100.0,100.0
office31,10,21,ClipZeroShot,amazon,dslr,0.0,0.0,95.54,95.92
office31,10,21,ClipZeroShot,amazon,webcam,0.0,0.0,97.63,97.87
office31,10,21,ClipZeroShot,dslr,amazon,0.0,0.0,96.66,96.72
office31,10,21,ClipZeroShot,dslr,webcam,0.0,0.0,97.63,97.87
office31,10,21,ClipZeroShot,webcam,amazon,0.0,0.0,96.66,96.72
office31,10,21,ClipZeroShot,webcam,dslr,0.0,0.0,95.54,95.92
office31,10,21,ClipDistill,amazon,dslr,93.21,94.33,95.54,95.92
office31,10,21,ClipDistill,amazon,webcam,93.9,94.81,97.63,97.87
office31,10,21,ClipDistill,dslr,amazon,95.72,95.81,96.66,96.72
office31,10,21,ClipDistill,dslr,webcam,93.9,94.81,97.63,97.87
office31,10,21,ClipDistill,webcam,amazon,95.72,95.81,96.66,96.72
office31,10,21,ClipDistill,webcam,dslr,93.21,94.33,95.54,95.92
office31,10,21,ClipDistillTemp1.0,amazon,dslr,0.0,0.0,95.54,95.92
office31,10,21,ClipDistillTemp1.0,amazon,webcam,0.0,0.0,97.63,97.87
office31,10,21,ClipDistillTemp1.0,dslr,amazon,0.0,0.0,96.66,96.72
office31,10,21,ClipDistillTemp1.0,dslr,webcam,0.0,0.0,97.63,97.87
office31,10,21,ClipDistillTemp1.0,webcam,amazon,0.0,0.0,96.66,96.72
office31,10,21,ClipDistillTemp1.0,webcam,dslr,0.0,0.0,95.54,95.92
office31,10,21,AutoDistill,amazon,dslr,91.08,92.87,95.54,95.92
office31,10,21,AutoDistill,amazon,webcam,90.51,91.56,97.63,97.87
office31,10,21,AutoDistill,dslr,amazon,95.72,95.81,96.66,96.72
office31,10,21,AutoDistill,dslr,webcam,93.9,94.81,97.63,97.87
office31,10,21,AutoDistill,webcam,amazon,95.72,95.81,96.66,96.72
office31,10,21,AutoDistill,webcam,dslr,94.27,95.05,95.54,95.92
office31,10,21,Auto_only_cal,amazon,dslr,91.72,93.32,95.54,95.92
office31,10,21,Auto_only_cal,amazon,webcam,90.17,91.33,97.63,97.87
office31,10,21,Auto_only_cal,dslr,amazon,95.72,95.81,96.66,96.72
office31,10,21,Auto_only_cal,dslr,webcam,93.9,94.81,97.63,97.87
office31,10,21,Auto_only_cal,webcam,amazon,95.93,96.01,96.66,96.72
office31,10,21,Auto_only_cal,webcam,dslr,94.27,95.05,95.54,95.92
office31,10,21,Auto_wo_iid,amazon,dslr,78.98,80.99,95.54,95.92
office31,10,21,Auto_wo_iid,amazon,webcam,80.34,80.73,97.63,97.87
office31,10,21,Auto_wo_iid,dslr,amazon,94.47,94.58,96.66,96.72
office31,10,21,Auto_wo_iid,dslr,webcam,90.17,91.33,97.63,97.87
office31,10,21,Auto_wo_iid,webcam,amazon,94.78,94.88,96.66,96.72
office31,10,21,Auto_wo_iid,webcam,dslr,91.72,93.32,95.54,95.92
office31,10,21,Auto_wo_nll,amazon,dslr,73.25,75.71,95.54,95.92
office31,10,21,Auto_wo_nll,amazon,webcam,76.61,76.45,97.63,97.87
office31,10,21,Auto_wo_nll,dslr,amazon,93.18,93.31,96.66,96.72
office31,10,21,Auto_wo_nll,dslr,webcam,87.8,88.81,97.63,97.87
office31,10,21,Auto_wo_nll,webcam,amazon,94.26,94.38,96.66,96.72
office31,10,21,Auto_wo_nll,webcam,dslr,90.45,92.03,95.54,95.92
office31,10,21,Auto_wo_ood,amazon,dslr,94.9,95.5,95.54,95.92
office31,10,21,Auto_wo_ood,amazon,webcam,95.59,96.17,97.63,97.87
office31,10,21,Auto_wo_ood,dslr,amazon,96.66,96.74,96.66,96.74
office31,10,21,Auto_wo_ood,dslr,webcam,97.97,98.2,97.97,98.2
office31,10,21,Auto_wo_ood,webcam,amazon,96.66,96.72,96.66,96.72
office31,10,21,Auto_wo_ood,webcam,dslr,95.54,95.92,95.54,95.92
officehome,25,40,SO,Art,Clipart,41.0,44.33,79.38,79.6
officehome,25,40,SO,Art,Product,63.81,65.34,87.73,88.89
officehome,25,40,SO,Art,RealWorld,73.42,71.4,91.94,90.81
officehome,25,40,SO,Clipart,Art,48.3,44.78,81.14,77.78
officehome,25,40,SO,Clipart,Product,60.26,59.45,81.94,80.4
officehome,25,40,SO,Clipart,RealWorld,67.27,63.91,87.7,85.42
officehome,25,40,SO,Product,Art,47.84,46.61,78.6,76.8
officehome,25,40,SO,Product,Clipart,41.07,41.37,76.66,76.15
officehome,25,40,SO,Product,RealWorld,74.14,72.02,91.33,90.17
officehome,25,40,SO,RealWorld,Art,60.48,59.08,84.82,83.56
officehome,25,40,SO,RealWorld,Clipart,54.49,53.28,81.93,79.21
officehome,25,40,SO,RealWorld,Product,76.97,78.2,90.05,90.88
officehome,25,40,DANCE,Art,Clipart,27.74,34.87,69.39,72.3
officehome,25,40,DANCE,Art,Product,39.12,41.08,75.16,77.91
officehome,25,40,DANCE,Art,RealWorld,75.5,74.03,90.8,90.05
officehome,25,40,DANCE,Clipart,Art,26.48,31.93,72.39,72.9
officehome,25,40,DANCE,Clipart,Product,30.31,34.31,70.55,71.9
officehome,25,40,DANCE,Clipart,RealWorld,55.46,54.84,82.33,80.85
officehome,25,40,DANCE,Product,Art,17.91,25.85,62.63,67.47
officehome,25,40,DANCE,Product,Clipart,16.86,21.6,61.95,65.07
officehome,25,40,DANCE,Product,RealWorld,63.68,63.45,83.45,82.75
officehome,25,40,DANCE,RealWorld,Art,56.44,57.55,80.38,81.87
officehome,25,40,DANCE,RealWorld,Clipart,42.71,45.7,74.07,74.91
officehome,25,40,DANCE,RealWorld,Product,70.96,74.36,84.48,87.07
officehome,25,40,OVANet,Art,Clipart,58.47,60.09,79.5,79.88
officehome,25,40,OVANet,Art,Product,69.26,70.91,87.45,88.66
officehome,25,40,OVANet,Art,RealWorld,83.71,81.93,91.81,90.66
officehome,25,40,OVANet,Clipart,Art,62.96,60.59,80.96,77.61
officehome,25,40,OVANet,Clipart,Product,62.28,61.88,81.89,80.24
officehome,25,40,OVANet,Clipart,RealWorld,76.16,72.19,87.61,85.26
officehome,25,40,OVANet,Product,Art,53.17,52.46,78.51,76.66
officehome,25,40,OVANet,Product,Clipart,45.03,45.8,76.42,75.92
officehome,25,40,OVANet,Product,RealWorld,78.94,76.8,91.22,90.06
officehome,25,40,OVANet,RealWorld,Art,69.36,68.38,84.73,83.49
officehome,25,40,OVANet,RealWorld,Clipart,59.74,58.47,82.41,79.8
officehome,25,40,OVANet,RealWorld,Product,80.11,81.48,89.9,90.8
officehome,25,40,UniOT,Art,Clipart,37.41,44.17,57.03,61.78
officehome,25,40,UniOT,Art,Product,37.74,43.91,58.43,63.14
officehome,25,40,UniOT,Art,RealWorld,34.95,39.98,75.43,77.06
officehome,25,40,UniOT,Clipart,Art,34.56,47.21,64.19,68.11
officehome,25,40,UniOT,Clipart,Product,36.28,41.66,68.33,70.15
officehome,25,40,UniOT,Clipart,RealWorld,43.48,47.94,79.72,78.98
officehome,25,40,UniOT,Product,Art,28.8,37.16,44.14,51.99
officehome,25,40,UniOT,Product,Clipart,39.04,44.8,55.84,60.43
officehome,25,40,UniOT,Product,RealWorld,35.51,39.38,69.87,72.36
officehome,25,40,UniOT,RealWorld,Art,35.26,48.13,63.7,70.92
officehome,25,40,UniOT,RealWorld,Clipart,37.79,43.92,59.86,63.56
