dataset,n_share,n_source_private,method,source,target,OA,AA,Closed-set OA,Closed-set AA
office31,10,21,SO,amazon,dslr,0.52,0.5,0.6,0.39
office31,10,21,SO,amazon,webcam,0.28,0.24,0.28,0.27
office31,10,21,SO,dslr,amazon,0.47,0.52,0.05,0.06
office31,10,21,SO,dslr,webcam,0.32,0.22,0.16,0.11
office31,10,21,SO,webcam,amazon,0.52,0.55,0.13,0.13
office31,10,21,SO,webcam,dslr,0.0,0.0,0.0,0.0
office31,10,21,DANCE,amazon,dslr,8.86,6.21,5.34,3.51
office31,10,21,DANCE,amazon,webcam,3.92,4.71,1.31,1.65
office31,10,21,DANCE,dslr,amazon,8.27,8.0,2.69,2.57
office31,10,21,DANCE,dslr,webcam,0.0,0.0,0.0,0.0
office31,10,21,DANCE,webcam,amazon,7.93,7.84,3.41,3.31
office31,10,21,DANCE,webcam,dslr,0.0,0.0,0.0,0.0
office31,10,21,OVANet,amazon,dslr,0.3,0.2,0.6,0.39
office31,10,21,OVANet,amazon,webcam,2.51,2.74,0.16,0.06
office31,10,21,OVANet,dslr,amazon,3.76,4.4,0.05,0.06
office31,10,21,OVANet,dslr,webcam,0.16,0.11,0.16,0.11
office31,10,21,OVANet,webcam,amazon,3.67,4.31,0.18,0.18
office31,10,21,OVANet,webcam,dslr,0.0,0.0,0.0,0.0
office31,10,21,UniOT,amazon,dslr,1.2,1.88,2.1,1.88
office31,10,21,UniOT,amazon,webcam,2.15,2.27,1.73,2.1
office31,10,21,UniOT,dslr,amazon,1.09,1.02,0.63,0.58
office31,10,21,UniOT,dslr,webcam,0.7,0.83,2.0,1.85
office31,10,21,UniOT,webcam,amazon,2.91,2.93,1.8,1.93
office31,10,21,UniOT,webcam,dslr,0.79,1.09,0.52,0.3
office31,10,21,WiSE-FT,amazon,dslr,0.3,0.39,0.0,0.0
office31,10,21,WiSE-FT,amazon,webcam,0.16,0.15,0.16,0.16
office31,10,21,WiSE-FT,dslr,amazon,0.38,0.36,0.05,0.05
office31,10,21,WiSE-FT,dslr,webcam,0.16,0.18,0.0,0.0
office31,10,21,WiSE-FT,webcam,amazon,0.38,0.44,0.09,0.09
office31,10,21,WiSE-FT,webcam,dslr,0.3,0.39,0.3,0.47
office31,10,21,ClipCrossModel,amazon,dslr,0.3,0.2,0.0,0.0
office31,10,21,ClipCrossModel,amazon,webcam,0.16,0.18,0.28,0.28
office31,10,21,ClipCrossModel,dslr,amazon,0.13,0.13,0.0,0.0
office31,10,21,ClipCrossModel,dslr,webcam,0.0,0.0,0.0,0.0
office31,10,21,ClipCrossModel,webcam,amazon,0.13,0.13,0.05,0.05
office31,10,21,ClipCrossModel,webcam,dslr,0.3,0.2,0.0,0.0
office31,10,21,ClipZeroShot,amazon,dslr,0.0,0.0,0.0,0.0
office31,10,21,ClipZeroShot,amazon,webcam,0.0,0.0,0.0,0.0
office31,10,21,ClipZeroShot,dslr,amazon,0.0,0.0,0.0,0.0
office31,10,21,ClipZeroShot,dslr,webcam,0.0,0.0,0.0,0.0
office31,10,21,ClipZeroShot,webcam,amazon,0.0,0.0,0.0,0.0
office31,10,21,ClipZeroShot,webcam,dslr,0.0,0.0,0.0,0.0
office31,10,21,ClipDistill,amazon,dslr,0.3,0.21,0.0,0.0
office31,10,21,ClipDistill,amazon,webcam,0.0,0.0,0.0,0.0
office31,10,21,ClipDistill,dslr,amazon,0.0,0.0,0.0,0.0
office31,10,21,ClipDistill,dslr,webcam,0.0,0.0,0.0,0.0
office31,10,21,ClipDistill,webcam,amazon,0.0,0.0,0.0,0.0
office31,10,21,ClipDistill,webcam,dslr,0.3,0.21,0.0,0.0
office31,10,21,ClipDistillTemp1.0,amazon,dslr,0.0,0.0,0.0,0.0
office31,10,21,ClipDistillTemp1.0,amazon,webcam,0.0,0.0,0.0,0.0
office31,10,21,ClipDistillTemp1.0,dslr,amazon,0.0,0.0,0.0,0.0
